用户ID,movie_id,评分
280,10788,4
282,2210,4
284,13305,4
285,18156,4
286,22065,4
288,16057,2
295,14277,4
296,21731,4
310,15079,4
311,21779,2
313,4821,4
314,13484,4
315,12037,4
316,18288,4
317,4746,4
318,20655,4
320,21094,4
322,17593,4
324,11580,2
326,6043,4
332,4533,4
334,20499,4
335,1169,4
336,14074,4
337,17231,2
339,21021,4
340,16331,4
343,10733,4
348,8678,4
352,3282,4
355,4086,4
357,19837,4
363,17430,4
364,2107,4
365,2887,4
366,11043,4
367,15316,4
372,12990,4
376,255,2
378,625,4
385,20569,4
393,21390,4
394,19473,4
397,3143,4
398,14004,4
399,16536,4
401,11209,4
403,7695,4
409,12389,4
410,13519,2
412,16170,4
413,249,4
414,5475,4
415,1288,2
416,184,4
421,12271,2
425,10565,4
427,13707,2
428,21864,4
435,3342,4
441,16232,4
444,1901,4
453,17150,4
457,14200,4
461,4301,4
462,16040,2
466,11504,4
467,19926,4
468,22767,2
469,4490,4
471,7171,4
472,13845,4
473,17455,4
474,3647,2
475,10450,4
476,9914,4
477,13877,4
478,13240,4
479,13133,2
481,372,4
482,6948,2
483,12738,2
485,14476,2
489,13113,2
490,3097,2
492,16837,4
493,4664,4
497,673,4
502,21045,8
503,22822,10
504,13367,10
505,704,10
506,6601,8
507,13750,8
508,17923,8
510,20836,8
511,2697,10
512,22220,8
513,19670,10
514,20629,8
515,17407,8
516,4343,10
517,16349,10
519,3489,8
520,6453,10
522,6935,8
523,16512,8
524,22642,8
525,3687,10
526,8416,8
527,8225,10
528,11005,10
529,17928,8
530,17791,8
531,7175,8
533,18621,8
534,767,10
535,11968,8
536,3107,8
538,15527,8
539,13505,8
542,1778,10
543,14406,8
545,22222,8
546,20661,8
547,9154,8
548,12712,10
549,1126,8
550,19575,8
551,20610,8
552,19537,8
553,10797,8
554,20870,8
555,2802,10
556,5339,8
557,5759,8
560,12809,8
562,35,8
563,5178,8
564,6515,8
565,20982,8
568,12397,8
570,8445,10
571,4464,8
572,6753,8
573,20254,8
574,4094,8
575,14361,8
576,4945,8
577,14006,10
578,7782,8
579,4718,8
580,19652,8
581,19047,8
582,5217,8
583,3614,8
584,3126,8
585,11225,10
586,13386,8
587,18339,10
588,8273,8
589,20907,8
590,10354,8
591,11844,8
592,10502,8
594,11330,8
595,3449,8
517,13305,10
596,5151,10
597,7638,8
599,18558,8
